,fec_id,candidate_name,last_name,party,donor_count,first_quartile_bachelors_pct,second_quartile_bachelors_pct,third_quartile_bachelors_pct,fourth_quartile_bachelors_pct,first_quartile_household_income,second_quartile_household_income,third_quartile_household_income,fourth_quartile_household_income,majority_non_hispanic_white_zipcode,majority_hispanic_zipcode,majority_black_zipcode,majority_asian_zipcode,majority_indigenous_zipcode,majority_hawaiian_pacific_islander_zipcode,no_majority_ethnicity_zipcode,median_household_income,district_name,high_income_zipcode_pct,majority_white_zipcode_pct,high_bachelors_zipcode_pct
387,H8WV03097,CAROL MILLER,MILLER,REP,5167,3120,1273,572,202,2374,1424,902,467,4260,258,69,37,3,0,540,74171.771,WV-03,0.45945422875943487,0.8244629378749758,0.6038320108380104
388,P00006213,JOHN DELANEY,DELANEY,DEM,7392,5966,913,388,125,4618,1457,795,522,6146,191,137,37,5,0,876,91589.5261,USA,0.6247294372294372,0.8314393939393939,0.8070887445887446
389,P00006486,ANDREW YANG,YANG,DEM,325862,224794,64019,27589,9460,153591,80865,53623,37783,229192,19793,9444,6986,140,2,60305,74824.9583,USA,0.4713375600714413,0.703340677955699,0.6898441671627867
390,P00009092,JULIAN CASTRO,CASTRO,DEM,138190,100559,23855,9755,4021,64616,34893,22206,16475,95879,11871,5326,913,68,0,24133,74027.6911,USA,0.46758810333598666,0.6938201027570736,0.727686518561401
391,P00009183,TULSI GABBARD,GABBARD,DEM,163190,106319,36238,15609,5024,73430,43454,28130,18176,123563,8948,3531,1929,99,8,25114,72929.0364,USA,0.44996629695447027,0.7571726208713769,0.6515043813959188
392,P00009290,KIRSTEN GILLIBRAND,GILLIBRAND,DEM,49075,37976,7560,2778,761,26521,11043,7074,4437,39064,1695,1351,261,15,3,6686,80488.791,USA,0.5404177279673968,0.7960061130922058,0.7738359653591441
393,P00009423,KAMALA HARRIS,HARRIS,DEM,194316,144930,32040,13289,4057,102080,45636,27844,18756,141355,9247,8728,1873,76,1,33036,78612.2644,USA,0.5253298750488894,0.727449103522098,0.7458469709133576
394,P00009621,ELIZABETH WARREN,WARREN,DEM,1036373,786813,170792,62268,16500,507125,259765,161502,107981,783271,45175,35562,6762,349,2,165253,75190.4513,USA,0.4893267192410454,0.7557809784701068,0.7591986668892378
395,P00009795,CORY BOOKER,BOOKER,DEM,181117,141084,27475,10026,2532,99120,41222,24641,16134,140745,6125,6907,1080,62,0,26198,80623.3026,USA,0.5472705488717238,0.7770943644163717,0.7789660826979246
396,P00009910,MARIANNE WILLIAMSON,WILLIAMSON,DEM,87440,63097,16037,6504,1802,41061,22475,14195,9709,65862,4565,3096,631,32,2,13252,73900.2755,USA,0.46959057639524243,0.7532250686184813,0.721603385178408
397,P00010298,PETE BUTTIGIEG,BUTTIGIEG,DEM,653764,484298,113073,45006,11387,328106,161567,103807,60284,535792,21830,13046,3270,205,5,79616,77015.0081,USA,0.5018722352408514,0.8195495622273481,0.7407841361714624
398,P00010454,JAY INSLEE,INSLEE,DEM,63941,51076,9302,2921,642,34938,15849,8194,4960,52160,1802,1317,336,23,2,8301,79880.1308,USA,0.5464099716926542,0.8157520213947232,0.7987988927292348
399,P00010520,JOHN HICKENLOOPER,HICKENLOOPER,DEM,6283,5473,576,196,38,3673,1611,651,348,5485,175,77,16,1,0,529,83517.5767,USA,0.5845933471271686,0.8729906095814102,0.8710806939360178
400,P00010793,ROBERT O'ROURKE,O'ROURKE,DEM,85173,59753,15477,6987,2956,41309,21239,13190,9435,59687,9857,1661,341,36,0,13591,75551.3996,USA,0.4850011153769387,0.7007737193711622,0.7015486128233126
401,P00011239,WILLIAM WELD,WELD,REP,1468,1269,137,53,9,1043,227,121,77,1281,36,16,2,0,0,133,95952.863,USA,0.7104904632152589,0.8726158038147139,0.864441416893733
402,P00011254,MAURICE GRAVEL,GRAVEL,DEM,25887,18193,5056,1968,670,10993,6588,4667,3639,18645,1504,1056,204,8,0,4470,71195.5656,USA,0.4246533008846139,0.7202456831614323,0.7027851817514582
403,P00011312,ERIC SWALWELL,SWALWELL,DEM,1063,875,122,50,16,712,191,106,54,773,43,10,33,0,0,204,94840.857,USA,0.6698024459078081,0.7271872060206962,0.8231420507996237
404,P00011338,TIMOTHY RYAN,RYAN,DEM,7231,5304,1209,566,152,3674,1715,1120,722,6112,165,149,38,2,0,765,78109.7538,USA,0.508090167335085,0.8452496196929885,0.7335085050477113
405,P00011833,MICHAEL BENNET,BENNET,DEM,48390,38943,6448,2478,521,27376,11591,6112,3311,41428,1224,802,210,11,0,4715,82673.8751,USA,0.5657367224633189,0.856127299028725,0.8047737135771854
406,P00011866,SETH MOULTON,MOULTON,DEM,2785,2357,299,97,32,1843,540,246,156,2405,48,35,14,2,0,281,91697.047,USA,0.6617594254937164,0.8635547576301615,0.8463195691202873
407,P00011999,STEVE BULLOCK,BULLOCK,DEM,35069,27060,5569,1979,461,17800,9070,5037,3162,30114,814,517,140,40,0,3444,79732.3088,USA,0.50757078901594,0.8587071202486527,0.7716216601556931
408,P00012054,BILL DE BLASIO,DE BLASIO,DEM,5140,3344,1246,450,100,2287,1296,844,713,3364,309,337,45,1,0,1084,73816.3527,USA,0.4449416342412451,0.6544747081712062,0.6505836575875487
