,fec_id,candidate_name,last_name,party,donor_count,first_quartile_bachelors_pct,second_quartile_bachelors_pct,third_quartile_bachelors_pct,fourth_quartile_bachelors_pct,first_quartile_household_income,second_quartile_household_income,third_quartile_household_income,fourth_quartile_household_income,majority_non_hispanic_white_zipcode,majority_hispanic_zipcode,majority_black_zipcode,majority_asian_zipcode,majority_indigenous_zipcode,majority_hawaiian_pacific_islander_zipcode,no_majority_ethnicity_zipcode,median_household_income,district_name,high_income_zipcode_pct,majority_white_zipcode_pct,high_bachelors_zipcode_pct
229,H2IL17071,CHERI BUSTOS,BUSTOS,DEM,10792,7390,2127,1027,248,5112,2668,1863,1149,8399,481,465,55,7,0,1385,75854.4566,IL-17,0.47368421052631576,0.7782616753150482,0.6847664936990363
230,H2MI05119,DANIEL KILDEE,KILDEE,DEM,1358,779,335,169,75,415,430,246,267,1158,10,46,7,1,0,136,65241.0861,MI-05,0.30559646539027985,0.8527245949926362,0.5736377025036818
231,H2MO02102,ANN WAGNER,WAGNER,REP,8263,5238,1869,860,296,4072,2101,1370,720,7043,307,119,42,3,0,749,76572.6445,MO-02,0.49279922546290694,0.8523538666343943,0.6339102021057728
232,H2NC08185,RICHARD HUDSON,HUDSON,REP,1015,661,225,107,22,464,193,244,114,838,5,14,2,3,0,153,73422.996,NC-08,0.45714285714285713,0.825615763546798,0.6512315270935961
233,H2NV04011,STEVEN HORSFORD,HORSFORD,DEM,6023,4281,1071,508,163,3165,1536,757,565,4450,264,164,43,3,0,1099,79139.9759,NV-04,0.5254856383861863,0.7388344678731529,0.710775361115723
234,H2NY10092,HAKEEM JEFFRIES,JEFFRIES,DEM,4101,3185,621,233,62,2536,676,507,382,2886,139,389,23,0,0,664,86556.3747,NY-08,0.6183857595708364,0.703730797366496,0.7766398439405023
235,H2NY14037,CAROLYN MALONEY,MALONEY,DEM,2490,2254,163,67,6,1906,326,148,110,2059,53,41,11,1,0,325,100273.9654,NY-12,0.7654618473895582,0.8269076305220884,0.9052208835341365
236,H2NY17071,JERROLD NADLER,NADLER,DEM,4908,4064,570,207,67,3285,831,515,277,4097,178,102,22,1,0,508,90199.6629,NY-10,0.6693154034229829,0.8347595762021189,0.8280358598207009
237,H2NY22139,SEAN MALONEY,MALONEY,DEM,7579,5634,1352,477,116,4293,1674,1008,604,6039,286,245,49,4,0,956,82637.4829,NY-18,0.5664335664335665,0.7968069666182874,0.7433698377094603
238,H2OH02085,BRAD WENSTRUP,WENSTRUP,REP,3681,2297,836,424,124,1673,1034,631,343,3080,152,77,20,2,0,350,73453.7506,OH-02,0.45449606085302907,0.8367291496875849,0.624015213257267
