display_name,id
SRI KULKARNI (TX-22),H8TX22313
STEPHANIE BICE (OK-05),H0OK05205
STEVE CHABOT (OH-01),H8OH01043
STEVE SCALISE (LA-01),H0LA01087
STEVEN DAINES (MT-SEN),S2MT00096
STEVEN WATKINS (KS-02),H8KS02199
SUSAN COLLINS (ME-SEN),S6ME00159
TERESA LEGER (NM-03),H0NM03102
THOM TILLIS (NC-SEN),S4NC00162
THOMAS COTTON (AR-SEN),S4AR00103
THOMAS EMMER (MN-06),H4MN06087
THOMAS KEAN (NJ-07),H0NJ07261
TIMOTHY RYAN (USA),P00011338
VERNON BUCHANAN (FL-16),H6FL13148
VICKY HARTZLER (MO-04),H0MO04086
VINCENT SPANO (FL-15),H8FL15230
VIRGINIA FOXX (NC-05),H4NC05146
WESLEY HUNT (TX-07),H0TX07170
WILLIAM CASSIDY (LA-SEN),S4LA00107
WILMOT COLLINS (MT-SEN),S0MT00090
YOUNG KIM (CA-39),H8CA39240
